REF_DATE,GEO,Labour force characteristics,Population centre and rural areas,Gender,Age group,VALUE
23-Apr,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,103.1
23-May,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,107.3
23-Jun,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,108.9
23-Jul,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,111.5
23-Aug,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,112
23-Sep,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,111.5
23-Oct,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,110
23-Nov,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,108.5
23-Dec,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,106.4
24-Jan,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,102.8
24-Feb,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,103
24-Mar,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,103.1
24-Apr,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,104.1
24-May,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,110.2
24-Jun,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,113.7
24-Jul,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,111.9
24-Aug,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,112.8
24-Sep,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,112.2
24-Oct,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,109.6
24-Nov,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,106
24-Dec,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,104.3
25-Jan,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,100.2
25-Feb,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,102.2
25-Mar,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,102.1
25-Apr,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,109.3
25-May,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,111.6
25-Jun,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,115
25-Jul,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,113.6
25-Aug,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,112.5
25-Sep,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 years and over,111.4
21-May,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,42.4
21-Jun,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,45.2
21-Jul,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,45.3
21-Aug,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,46.3
21-Sep,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,44.8
21-Oct,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,46.8
21-Nov,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,48.8
21-Dec,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,46.6
22-Jan,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,42.6
22-Feb,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,42.8
22-Mar,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,43.4
22-Apr,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,45.1
22-May,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,48.5
22-Jun,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,50.4
22-Jul,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,51
22-Aug,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,51
22-Sep,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,51.6
22-Oct,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,50.1
22-Nov,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,49.3
22-Dec,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,48.5
23-Jan,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,43.3
23-Feb,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,44.8
23-Mar,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,46.9
23-Apr,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,47.3
23-May,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,49.2
23-Jun,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,48.9
23-Jul,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,49.4
23-Aug,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,50.7
23-Sep,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,50.1
23-Oct,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,50.4
23-Nov,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,49.1
23-Dec,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,49.2
24-Jan,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,47.7
24-Feb,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,48.2
24-Mar,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,47.3
24-Apr,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,47.5
24-May,Newfoundland and Labrador,Employment,"Total, all population centres and rural areas",Men+,25 to 44 years,50.4
