REF_DATE,GEO,Labour force characteristics,Population centre and rural areas,Gender,Age group,VALUE
23-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Men+,65 years and over,2.9
24-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Men+,65 years and over,5.3
24-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Men+,65 years and over,4.9
24-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Men+,65 years and over,5.7
24-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Men+,65 years and over,5.9
24-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Men+,65 years and over,3.8
24-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Men+,65 years and over,4.2
24-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Men+,65 years and over,2.4
24-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Men+,65 years and over,2
24-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Men+,65 years and over,2.5
24-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Men+,65 years and over,2.5
24-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Men+,65 years and over,2
24-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Men+,65 years and over,2.5
25-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Men+,65 years and over,2.4
25-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Men+,65 years and over,2.5
25-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Men+,65 years and over,3
25-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Men+,65 years and over,4.8
25-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Men+,65 years and over,5.5
25-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Men+,65 years and over,3.7
25-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Men+,65 years and over,4.4
25-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Men+,65 years and over,5.4
25-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Men+,65 years and over,5.3
21-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,6.9
21-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,6.3
21-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,7.3
21-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,8.9
21-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,6.1
21-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,4.8
21-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,4.7
21-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,3.7
22-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,4.4
22-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,4
22-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,4.9
22-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,4.3
22-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,4.5
22-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,4.9
22-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,5.3
22-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,6.2
22-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,4.2
22-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,3.9
22-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,3.2
22-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,3
23-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,4.4
23-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,4.9
23-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,4.6
23-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,4.4
23-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,5.1
23-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,5.7
23-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,6.7
23-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,7.2
23-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,4.7
23-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,4.8
23-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,4.9
23-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,4.8
24-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,5.6
24-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,5.2
24-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,5.8
24-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,4.9
24-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,5.5
24-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,5.3
24-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,6.3
24-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,7.1
24-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,5.8
24-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,5.7
24-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,5.5
24-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,5.3
25-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,6.7
25-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,5.9
25-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,6.3
25-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,6.3
25-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,6.3
25-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,5.5
25-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,6.7
25-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,7.9
25-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 years and over,5.9
21-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,16.6
21-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,10.5
21-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,13.1
21-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,12.6
21-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,10.9
21-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,8.5
21-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,7
21-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,5.7
22-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,6.1
22-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,4.8
22-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,6.1
22-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,6.2
22-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,9.3
22-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,7.7
22-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,9.4
22-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,8.1
22-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,8.2
22-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,8.3
22-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,5.2
22-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,5.1
23-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,8.5
23-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,9.4
23-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,7.1
23-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,9.3
23-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,9.1
23-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,10
23-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,12.9
23-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,11.9
23-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,10.9
23-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,6.9
23-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,8.3
23-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,6
24-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,8.8
24-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,8.8
24-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,11.1
24-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,10.1
24-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,10.2
24-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,10.3
24-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,11
24-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,12.3
24-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,14.8
24-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,14.3
24-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,13.4
24-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,11.7
25-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,13.2
25-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,12.8
25-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,14.7
25-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,14.5
25-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,19.1
25-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,13.9
25-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,16.2
25-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,14.9
25-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,15 to 24 years,15
21-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,5.4
21-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,5.7
21-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,6.2
21-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,8.2
21-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,5.3
21-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.2
21-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.4
21-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,3.4
22-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.1
22-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,3.9
22-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.7
22-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4
22-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,3.7
22-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.5
22-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.6
22-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,5.8
22-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,3.6
22-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,3.1
22-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,2.9
22-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,2.7
23-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,3.7
23-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.2
23-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.2
23-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,3.7
23-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.5
23-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,5
23-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,5.7
23-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,6.4
23-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,3.8
23-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.5
23-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.4
23-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.6
24-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,5.1
24-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.7
24-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.9
24-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.1
24-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.8
24-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.4
24-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,5.4
24-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,6.1
24-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.4
24-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.4
24-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.4
24-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.3
25-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,5.7
25-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,5
25-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,5.1
25-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,5
25-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.2
25-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.2
25-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,5.2
25-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,6.9
25-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 years and over,4.7
21-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,3.7
21-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,4.6
21-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,5.5
21-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,9
21-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,5.5
21-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,4.1
21-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,3.4
21-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,3.4
22-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,3.4
22-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,3.2
22-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,4.1
22-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,4.2
22-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,3.6
22-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,4.7
22-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,4.6
22-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,5.8
22-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,3.9
22-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,3.4
22-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,3.2
22-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,3
23-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,3.2
23-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,4.6
23-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,5.2
23-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,3.9
23-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,4.3
23-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,5.1
23-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,6
23-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,6.2
23-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,3.8
23-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,4.7
23-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,4.9
23-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,4.6
24-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,6.1
24-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,5
24-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,6.2
24-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,4.9
24-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,5.2
24-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,5.2
24-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,5.6
24-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,6.9
24-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,5
24-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,4.7
24-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,4.9
24-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,4.7
25-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,6.4
25-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,5.6
25-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,5
25-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,5.1
25-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,4.5
25-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,4.5
25-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,6
25-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,8
25-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 44 years,6.2
21-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,7.1
21-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,6.8
21-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,7
21-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,7.3
21-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,5
21-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,4.2
21-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,5.5
21-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,3.4
22-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,5
22-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,4.6
22-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,5.5
22-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,3.8
22-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,3.7
22-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,4.1
22-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,4.6
22-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,5.8
22-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,3.2
22-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,2.8
22-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,2.5
22-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,2.3
23-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,4.4
23-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,3.7
23-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,3
23-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,3.4
23-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,4.7
23-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,4.9
23-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,5.3
23-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,6.6
23-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,3.8
23-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,4.2
23-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,3.7
23-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,4.7
24-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,3.9
24-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,4.2
24-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,3.4
24-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,3.1
24-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,4.2
24-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,3.6
24-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,5.1
24-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,5.2
24-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,3.6
24-Oct,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,4.1
24-Nov,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,3.7
24-Dec,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,3.8
25-Jan,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,4.9
25-Feb,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,4.2
25-Mar,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,5.2
25-Apr,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,4.9
25-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,3.9
25-Jun,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,3.8
25-Jul,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,4.1
25-Aug,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,5.5
25-Sep,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,45 years and over,2.8
21-May,British Columbia,Unemployment rate,"Total, all population centres and rural areas",Women+,25 to 54 years,4.2
